GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_004028015.1	8252698	GCF_004028015.1	8256178	
GCA_000069185.1	353848	GCF_000069185.1	87788	
GCA_000497265.2	1505198	GCF_000497265.2	1507108	
GCA_003609715.1	7517438	GCF_003609715.1	7535068	
GCA_001677215.1	3326798	GCF_001677215.1	3327308	
GCA_001610675.1	3159858	GCF_001610675.1	3178078	
GCA_001606215.1	3155398	GCF_001606215.1	3174018	
GCA_001610615.1	3159798	GCF_001610615.1	3178138	
GCA_001677195.1	3326778	GCF_001677195.1	3327068	
GCA_001606315.1	3155498	GCF_001606315.1	3173418	
GCA_001677155.1	3326738	GCF_001677155.1	3327208	
GCA_014843195.1	22453408	GCF_014843195.1	22469448	
GCA_001430775.1	2570748	GCF_001430775.1	2607258	
GCA_001606275.1	3155458	GCF_001606275.1	3173628	
GCA_001606335.1	3155518	GCF_001606335.1	3174138	
GCA_004027995.1	8252678	GCF_004027995.1	8256218	
GCA_001606295.1	3155478	GCF_001606295.1	3173858	
GCA_003586385.1	7478068	GCF_003586385.1	7496618	
GCA_001606255.1	3155438	GCF_001606255.1	3173678	
GCA_010731915.1	16878748	GCF_010731915.1	17319738	
GCA_001610635.1	3159818	GCF_001610635.1	3177998	
GCA_014843135.1	22453348	GCF_014843135.1	22469068	
GCA_014843175.1	22453388	GCF_014843175.1	22469408	
GCA_001677095.1	3326678	GCF_001677095.1	3327048	
GCA_014843215.1	22453428	GCF_014843215.1	22469788	
GCA_014843235.1	22453448	GCF_014843235.1	22472878	
GCA_003076875.1	6432658	GCF_003076875.1	6450898	
GCA_003076855.1	6432638	GCF_003076855.1	6450818	
GCA_001606235.1	3155418	GCF_001606235.1	3174908	
GCA_001677175.1	3326758	GCF_001677175.1	3327228	
GCA_020735505.1	29943078	GCF_020735505.1	29959978	
GCA_001606195.1	3155378	GCF_001606195.1	3174778	
GCA_014843155.1	22453368	GCF_014843155.1	22468668	
GCA_003076795.1	6432578	GCF_003076795.1	6450938	
GCA_001610655.1	3159838	GCF_001610655.1	3177858	
GCA_017189435.1	25356048	GCF_017189435.1	25446988	
GCA_017190795.1	25357988	GCF_017190795.1	25447008	
GCA_017189415.1	25356028	GCF_017189415.1	25445848	
GCA_017190875.1	25358048	GCF_017190875.1	25445868	
